campaign_id,artist_id,release_id,campaign_name,platform,objective,start_date,end_date,total_budget
51,34,149,Velvet Saints — Release Campaign,Spotify Ad Studio,followers,2021-09-05,2021-10-17,1176.01
52,35,154,Silver Rebels — Awareness Push,Meta,pre-save,2024-11-09,2024-12-21,1033.37
53,35,155,Solar Phantoms — Streams Boost,TikTok,awareness,2023-11-02,2023-12-21,2538.84
54,36,160,Wild Waves — Streams Boost,TikTok,awareness,2024-08-17,2024-09-28,7968.43
55,37,163,Static Tides — Follower Growth,Google,streams,2024-05-09,2024-06-20,2553.88
56,37,164,Glass Rebels — Pre-Save Drive,YouTube,followers,2023-05-06,2023-06-24,1987.18
57,38,167,Iron Riot — Pre-Save Drive,YouTube,followers,2021-12-17,2022-01-28,1374.25
58,39,172,Sacred Horizon — Release Campaign,Spotify Ad Studio,pre-save,2025-06-16,2025-07-28,1809.71
59,39,173,Velvet Tides — Awareness Push,Meta,awareness,2025-03-10,2025-04-28,2225.80
60,40,178,Midnight Foxes — Awareness Push,Meta,awareness,2022-05-31,2022-07-12,6399.23
61,41,181,Neon Bones — Streams Boost,TikTok,streams,2025-02-25,2025-04-08,2021.88
62,41,182,Wild Horizon — Follower Growth,Google,followers,2024-06-04,2024-07-23,2009.86
63,42,185,Golden Roses — Follower Growth,Google,followers,2023-03-01,2023-04-12,1283.64
64,43,190,Lonely Ghosts — Pre-Save Drive,YouTube,pre-save,2023-06-05,2023-07-17,1288.61
65,43,191,Iron Bones — Release Campaign,Spotify Ad Studio,awareness,2022-05-02,2022-06-20,1692.13
66,44,196,Hollow Vibes — Release Campaign,Spotify Ad Studio,awareness,2025-07-10,2025-08-21,10105.85
67,45,199,Paper Shadows — Awareness Push,Meta,streams,2022-05-30,2022-07-11,1697.83
68,45,200,Midnight Ghosts — Streams Boost,TikTok,followers,2022-01-04,2022-02-22,1904.59
69,46,203,Sunken Sirens — Streams Boost,TikTok,followers,2024-04-01,2024-05-13,1729.50
70,47,208,Electric Echoes — Follower Growth,Google,pre-save,2021-09-12,2021-10-24,2033.69
71,47,209,Golden Shadows — Pre-Save Drive,YouTube,awareness,2025-03-03,2025-04-21,2279.97
72,48,214,Crimson Ravens — Pre-Save Drive,YouTube,awareness,2025-09-18,2025-10-30,13860.15
73,49,217,Broken Wolves — Release Campaign,Spotify Ad Studio,streams,2021-09-28,2021-11-09,1653.98
74,49,218,Hollow Echoes — Awareness Push,Meta,followers,2025-05-05,2025-06-23,1373.56
75,50,221,Solar Youth — Awareness Push,Meta,followers,2025-01-24,2025-03-07,1005.87
76,51,226,Amber Vultures — Streams Boost,TikTok,pre-save,2023-05-29,2023-07-10,1808.67
77,51,227,Sunken Wolves — Follower Growth,Google,awareness,2021-08-25,2021-10-13,1525.74
78,52,232,Glass Hearts — Follower Growth,Google,awareness,2024-05-19,2024-06-30,6947.66
79,53,235,Restless Phantoms — Pre-Save Drive,YouTube,streams,2022-05-31,2022-07-12,1036.22
80,53,236,Crimson Vultures — Release Campaign,Spotify Ad Studio,followers,2022-11-17,2023-01-05,2173.02
81,54,239,Velvet Saints — Release Campaign,Spotify Ad Studio,followers,2023-03-02,2023-04-13,1456.44
82,55,244,Silver Rebels — Awareness Push,Meta,pre-save,2022-04-22,2022-06-03,1663.14
83,55,245,Solar Phantoms — Streams Boost,TikTok,awareness,2025-11-07,2025-12-26,1246.37
84,56,250,Wild Waves — Streams Boost,TikTok,awareness,2024-09-23,2024-11-04,11426.32
85,57,253,Static Tides — Follower Growth,Google,streams,2023-05-29,2023-07-10,2473.07
86,57,254,Glass Rebels — Pre-Save Drive,YouTube,followers,2024-04-20,2024-06-08,1438.03
87,58,257,Iron Riot — Pre-Save Drive,YouTube,followers,2024-06-17,2024-07-29,2470.96
88,59,262,Sacred Horizon — Release Campaign,Spotify Ad Studio,pre-save,2021-11-01,2021-12-13,1740.71
89,59,263,Velvet Tides — Awareness Push,Meta,awareness,2024-07-15,2024-09-02,2190.67
90,60,268,Midnight Foxes — Awareness Push,Meta,awareness,2025-05-12,2025-06-23,6566.41
91,61,271,Neon Bones — Streams Boost,TikTok,streams,2024-03-05,2024-04-16,2284.01
92,61,272,Wild Horizon — Follower Growth,Google,followers,2024-08-28,2024-10-16,1426.43
93,62,275,Golden Roses — Follower Growth,Google,followers,2022-05-19,2022-06-30,1180.12
94,63,280,Lonely Ghosts — Pre-Save Drive,YouTube,pre-save,2025-09-17,2025-10-29,2521.30
95,63,281,Iron Bones — Release Campaign,Spotify Ad Studio,awareness,2022-05-16,2022-07-04,966.16
96,64,286,Hollow Vibes — Release Campaign,Spotify Ad Studio,awareness,2022-12-21,2023-02-01,9423.52
97,65,289,Paper Shadows — Awareness Push,Meta,streams,2021-11-05,2021-12-17,1436.06
98,65,290,Midnight Ghosts — Streams Boost,TikTok,followers,2023-06-12,2023-07-31,979.56
99,66,293,Sunken Sirens — Streams Boost,TikTok,followers,2022-01-14,2022-02-25,1489.61
100,67,298,Electric Echoes — Follower Growth,Google,pre-save,2023-03-06,2023-04-17,1809.38
101,67,299,Golden Shadows — Pre-Save Drive,YouTube,awareness,2024-06-11,2024-07-30,1878.08
102,68,304,Crimson Ravens — Pre-Save Drive,YouTube,awareness,2025-11-01,2025-12-13,6731.94
103,69,307,Broken Wolves — Release Campaign,Spotify Ad Studio,streams,2022-07-08,2022-08-19,1576.96
104,69,308,Hollow Echoes — Awareness Push,Meta,followers,2021-11-26,2022-01-14,1398.09
105,70,311,Solar Youth — Awareness Push,Meta,followers,2026-05-07,2026-06-18,1359.58
106,71,316,Amber Vultures — Streams Boost,TikTok,pre-save,2022-10-27,2022-12-08,1703.64
107,71,317,Sunken Wolves — Follower Growth,Google,awareness,2025-01-31,2025-03-21,1739.45
108,72,322,Glass Hearts — Follower Growth,Google,awareness,2022-02-15,2022-03-29,14327.01
109,73,325,Restless Phantoms — Pre-Save Drive,YouTube,streams,2025-04-22,2025-06-03,1913.23
110,73,326,Crimson Vultures — Release Campaign,Spotify Ad Studio,followers,2022-04-24,2022-06-12,2407.23
111,74,329,Velvet Saints — Release Campaign,Spotify Ad Studio,followers,2022-06-22,2022-08-03,1796.42
112,75,334,Silver Rebels — Awareness Push,Meta,pre-save,2023-01-27,2023-03-10,2660.45
113,75,335,Solar Phantoms — Streams Boost,TikTok,awareness,2026-05-03,2026-06-21,1612.96
114,76,340,Wild Waves — Streams Boost,TikTok,awareness,2024-07-16,2024-08-27,5245.19
115,77,343,Static Tides — Follower Growth,Google,streams,2024-05-24,2024-07-05,978.48
116,77,344,Glass Rebels — Pre-Save Drive,YouTube,followers,2022-07-22,2022-09-09,1041.97
117,78,347,Iron Riot — Pre-Save Drive,YouTube,followers,2021-10-15,2021-11-26,1374.40
118,79,352,Sacred Horizon — Release Campaign,Spotify Ad Studio,pre-save,2024-09-01,2024-10-13,1046.12
119,79,353,Velvet Tides — Awareness Push,Meta,awareness,2021-12-02,2022-01-20,2007.37
120,80,358,Midnight Foxes — Awareness Push,Meta,awareness,2022-07-24,2022-09-04,12791.95
121,81,361,Neon Bones — Streams Boost,TikTok,streams,2026-02-04,2026-03-18,1470.35
122,81,362,Wild Horizon — Follower Growth,Google,followers,2024-11-03,2024-12-22,1056.27
123,82,365,Golden Roses — Follower Growth,Google,followers,2021-11-26,2022-01-07,1770.32
124,83,370,Lonely Ghosts — Pre-Save Drive,YouTube,pre-save,2022-04-23,2022-06-04,1182.80
125,83,371,Iron Bones — Release Campaign,Spotify Ad Studio,awareness,2021-10-07,2021-11-25,1503.03
126,84,376,Hollow Vibes — Release Campaign,Spotify Ad Studio,awareness,2024-01-04,2024-02-15,6755.90
127,85,379,Paper Shadows — Awareness Push,Meta,streams,2023-08-19,2023-09-30,924.58
128,85,380,Midnight Ghosts — Streams Boost,TikTok,followers,2022-06-12,2022-07-31,1722.70
129,86,383,Sunken Sirens — Streams Boost,TikTok,followers,2023-07-17,2023-08-28,1339.77
130,87,388,Electric Echoes — Follower Growth,Google,pre-save,2025-08-04,2025-09-15,2430.76
131,87,389,Golden Shadows — Pre-Save Drive,YouTube,awareness,2022-06-09,2022-07-28,1834.46
132,88,394,Crimson Ravens — Pre-Save Drive,YouTube,awareness,2025-07-14,2025-08-25,5226.94
133,89,397,Broken Wolves — Release Campaign,Spotify Ad Studio,streams,2022-12-26,2023-02-06,2096.87
134,89,398,Hollow Echoes — Awareness Push,Meta,followers,2026-04-19,2026-06-07,1244.17
135,90,401,Solar Youth — Awareness Push,Meta,followers,2022-06-27,2022-08-08,2630.26
136,91,406,Amber Vultures — Streams Boost,TikTok,pre-save,2021-11-29,2022-01-10,1318.79
137,91,407,Sunken Wolves — Follower Growth,Google,awareness,2021-09-05,2021-10-24,1403.18
138,92,412,Glass Hearts — Follower Growth,Google,awareness,2026-04-09,2026-05-21,11517.41
139,93,415,Restless Phantoms — Pre-Save Drive,YouTube,streams,2024-08-14,2024-09-25,2088.04
140,93,416,Crimson Vultures — Release Campaign,Spotify Ad Studio,followers,2024-01-20,2024-03-09,1261.63
141,94,419,Velvet Saints — Release Campaign,Spotify Ad Studio,followers,2022-12-05,2023-01-16,944.06
142,95,424,Silver Rebels — Awareness Push,Meta,pre-save,2024-11-18,2024-12-30,1835.41
143,95,425,Solar Phantoms — Streams Boost,TikTok,awareness,2022-09-13,2022-11-01,1844.86
144,96,430,Wild Waves — Streams Boost,TikTok,awareness,2025-08-05,2025-09-16,5429.69
145,97,433,Static Tides — Follower Growth,Google,streams,2023-06-10,2023-07-22,2255.76
146,97,434,Glass Rebels — Pre-Save Drive,YouTube,followers,2026-02-25,2026-04-15,1924.59
147,98,437,Iron Riot — Pre-Save Drive,YouTube,followers,2022-05-22,2022-07-03,1955.66
148,99,442,Sacred Horizon — Release Campaign,Spotify Ad Studio,pre-save,2024-02-07,2024-03-20,1304.54
149,99,443,Velvet Tides — Awareness Push,Meta,awareness,2022-09-15,2022-11-03,1555.73
150,100,448,Midnight Foxes — Awareness Push,Meta,awareness,2023-03-24,2023-05-05,6213.47
